author,channel_url,title,webpage_url,view_count,like_count,dislike_count,average_rating,duration,upload_date,tags,categories,description,thumbnail,best_format,filesize_bytes
Intune Training,http://www.youtube.com/channel/UCfmMlhX5TW8cicxHw6ExYVA,S02E30 - What's new in Intune Reporting w/ Spencer Shumway - (I.T),https://www.youtube.com/watch?v=lLNdS5ZlHoI,1210,37,0,5.0,2923,20210329,"['Microsoft', 'Intune', 'Training', 'Azure', 'AAD', 'MEM', 'MSIntune', 'Microsoft Endpoint Management', 'MEMIntune', 'Reporting', 'API']",['People & Blogs'],"00:00 - Intro
00:30 - Spencer Shumway introduction
             https://twitter.com/spencershum
03:25 - Reporting in MEM
06:40 - Reporting the new way
19:36 - Log analytics
31:25 - S02E01 - Easily Create Power BI Reports with the Intune Data Warehouse - (I.T)
             https://youtu.be/2ICPKRBIews
31:44 - Paging vs Export
36:54 - Deprecating application inventory in datawarehouse
             https://docs.microsoft.com/en-us/mem/intune/fundamentals/in-development#intune-data-warehouse-updates
             https://docs.microsoft.com/en-us/mem/intune/fundamentals/in-development#export-underlying-discovered-apps-list-data
41:07 - Available reports/data today
45:52 - Roadmap
47:02 - Useful resources
             Initial reporting blog: https://techcommunity.microsoft.com/t5/intune-customer-success/new-reporting-framework-coming-to-intune/ba-p/1009553
             2009 Reporting Blog Update: https://techcommunity.microsoft.com/t5/intune-customer-success/microsoft-endpoint-manager-reporting-blog-for-2009-release/ba-p/1685655
             2011 Reporting Blog Update: https://techcommunity.microsoft.com/t5/intune-customer-success/introducing-new-policy-reports-amp-more-in-microsoft-endpoint/ba-p/1898027
             Getting started with Intune and Log Analytics: https://techcommunity.microsoft.com/t5/device-management-in-microsoft/microsoft-intune-and-azure-log-analytics/ba-p/463145
             Intune reporting export API documentation: https://docs.microsoft.com/mem/intune/fundamentals/reports-export-graph-apis
             Ignite reporting session 2020: https://techcommunity.microsoft.com/t5/video-hub/microsoft-endpoint-manager-reporting-graph-apis-and-log/m-p/1681560
             Intune Automated reporting Github: https://github.com/phmehta94/IntuneAutomatedReporting

Visit our websites and social media for more or to get in touch with us

Steve Hosking - Microsoft MMD Team
https://www.twitter.com/OnPremCloudGuy
http://steven.hosking.com.au/
https://mvp.microsoft.com/en-us/PublicProfile/5002537?fullName=Steven%20Hosking
https://github.com/onpremcloudguy

Adam Gross - Microsoft MVP - Enterprise Mobility
https://www.twitter.com/AdamGrossTX
https://www.asquaredozen.com
https://github.com/AdamGrossTX
https://mvp.microsoft.com/en-us/PublicProfile/5003519?fullName=Adam%20Gross

Ben Reader - Microsoft MVP - Enterprise Mobility
https://twitter.com/powers_hell
https://www.powers-hell.com/
https://github.com/tabs-not-spaces
https://mvp.microsoft.com/en-us/PublicProfile/5003799?fullName=Ben%20Reader

Jake Shackelford - Desktop Engineer
https://twitter.com/shackelfjaco
https://sysmansquad.com/author/jshackelford/
https://www.linkedin.com/in/jacob-shackelford-a5bb121ab/",https://i.ytimg.com/vi_webp/lLNdS5ZlHoI/maxresdefault.webp,18 - 640x360 (360p),59726990
Intune Training,http://www.youtube.com/channel/UCfmMlhX5TW8cicxHw6ExYVA,S02E29 - Beginners Guide to Accessing On-Premises Resources with Azure AD Joined Devices - (I.T),https://www.youtube.com/watch?v=dUJnIakSPkA,3767,73,3,4.8421054,4305,20210322,"['Microsoft', 'Intune', 'Training', 'Azure', 'AAD', 'MEM', 'MSIntune', 'Microsoft Endpoint Management', 'MEMIntune']",['People & Blogs'],"Sorry about Adam's keyboard noise and yes, this could be a very short video but we felt like there are people who could use a more in-depth discussion.

00:00 - Intro
00:10 - Jóhannes Geir Kristjánsson introduction 
01:10 - Access on-premises resources from an Azure AD-joined device
             https://docs.microsoft.com/microsoft-365/business/access-resources
02:36 - Windows admins discord
             http://aka.ms/winadmins
04:31 - Migration process
06:40 - Blockers
10:24 - Lab environment
15:50 - Install Azure AD Connect
37:57 - Assign licences
52:40 - Enable single sign-on
1:03:38 - Internal websites and certificates
1:09:08 - Wrap up

Visit our websites and social media for more or to get in touch with us

Jóhannes Geir Kristjánsson - Owner of the Windows Admins Discord Server
https://twitter.com/winadmins
http://aka.ms/winadmins
https://twitter.com/jgkps

Steve Hosking - Microsoft MMD Team
https://www.twitter.com/OnPremCloudGuy
http://steven.hosking.com.au/
https://mvp.microsoft.com/en-us/PublicProfile/5002537?fullName=Steven%20Hosking
https://github.com/onpremcloudguy

Adam Gross - Microsoft MVP - Enterprise Mobility
https://www.twitter.com/AdamGrossTX
https://www.asquaredozen.com
https://github.com/AdamGrossTX
https://mvp.microsoft.com/en-us/PublicProfile/5003519?fullName=Adam%20Gross

Ben Reader - Microsoft MVP - Enterprise Mobility
https://twitter.com/powers_hell
https://www.powers-hell.com/
https://github.com/tabs-not-spaces
https://mvp.microsoft.com/en-us/PublicProfile/5003799?fullName=Ben%20Reader

Jake Shackelford - Desktop Engineer
https://twitter.com/shackelfjaco
https://sysmansquad.com/author/jshackelford/
https://www.linkedin.com/in/jacob-shackelford-a5bb121ab/",https://i.ytimg.com/vi_webp/dUJnIakSPkA/maxresdefault.webp,18 - 640x360 (360p),123648755
Intune Training,http://www.youtube.com/channel/UCfmMlhX5TW8cicxHw6ExYVA,S02E28 - First Look at Win32 Application Supersedence in Microsoft Intune - (I.T),https://www.youtube.com/watch?v=M67kERi1i24,2038,46,2,4.8333335,1797,20210314,"['Microsoft', 'Intune', 'Training', 'Azure', 'AAD', 'MEM', 'MSIntune', 'Microsoft Endpoint Management', 'MEMIntune', 'Win32', 'Apps', 'Application', 'Packaging', 'Supersede']",['People & Blogs'],"00:00 - Intro
02:12 - S01E07 - Publishing Win32 Applications using Microsoft Intune
             https://youtu.be/x-RMjhzGXxA
02:54 - Win32 Application Supersedence
             https://docs.microsoft.com/mem/intune/apps/apps-win32-supersedence
08:54 - Create a Supersedence relationship in Intune
13:13 - Supersedence behavior
              https://docs.microsoft.com/mem/intune/apps/apps-win32-supersedence#supersedence-behavior
14:33 - Supersedence limitations
              https://docs.microsoft.com/en-us/mem/intune/apps/apps-win32-supersedence#supersedence-limitations
23:19 - Discussion
28:58 - Wrap up

Visit our websites and social media for more or to get in touch with us

Steve Hosking - Microsoft MMD Team
https://www.twitter.com/OnPremCloudGuy
http://steven.hosking.com.au/
https://mvp.microsoft.com/en-us/PublicProfile/5002537?fullName=Steven%20Hosking
https://github.com/onpremcloudguy

Adam Gross - Microsoft MVP - Enterprise Mobility
https://www.twitter.com/AdamGrossTX
https://www.asquaredozen.com
https://github.com/AdamGrossTX
https://mvp.microsoft.com/en-us/PublicProfile/5003519?fullName=Adam%20Gross

Ben Reader - Microsoft MVP - Enterprise Mobility
https://twitter.com/powers_hell
https://www.powers-hell.com/
https://github.com/tabs-not-spaces
https://mvp.microsoft.com/en-us/PublicProfile/5003799?fullName=Ben%20Reader

Jake Shackelford - Desktop Engineer
https://twitter.com/shackelfjaco
https://sysmansquad.com/author/jshackelford/
https://www.linkedin.com/in/jacob-shackelford-a5bb121ab/",https://i.ytimg.com/vi/M67kERi1i24/maxresdefault.jpg,18 - 640x360 (360p),41959494
Intune Training,http://www.youtube.com/channel/UCfmMlhX5TW8cicxHw6ExYVA,S02E27 - Configure Conditional Access & App Protection Policies for iOS in Microsoft Intune - (I.T),https://www.youtube.com/watch?v=Mr0tsvYTMa0,1876,34,2,4.7777777,3061,20210303,"['Microsoft', 'Intune', 'Training', 'Azure', 'AAD', 'MEM', 'MSIntune', 'Microsoft Endpoint Management', 'MEMIntune', 'Conditional Access', 'Ignite', 'iOS', 'App Protection Policy', 'Mobile', 'Security']",['People & Blogs'],"00:00 - Intro
01:30 - S01E08 - Configuring Conditional Access in Microsoft Intune
             https://youtu.be/yI3PDQHaAp8
02:52 - What is Conditional Access?
             https://docs.microsoft.com/azure/active-directory/conditional-access/overview
05:18 - Building a Conditional Access policy
             https://docs.microsoft.com/azure/active-directory/conditional-access/concept-conditional-access-policies
15:10 - MAM configuration
15:34 - Creating a App Protection policy
             https://docs.microsoft.com/mem/intune/apps/app-protection-policy
16:07 - Apps settings
19:40 - Data protection settings
30:16 - Access requirements settings
33:06 - Conditional launch settings
36:33 - iOS demo
45:00 - Azure AD audit logs
49:46 - Wrap up

Visit our websites and social media for more or to get in touch with us

Steve Hosking - Microsoft MMD Team
https://www.twitter.com/OnPremCloudGuy
http://steven.hosking.com.au/
https://mvp.microsoft.com/en-us/PublicProfile/5002537?fullName=Steven%20Hosking
https://github.com/onpremcloudguy

Adam Gross - Microsoft MVP - Enterprise Mobility
https://www.twitter.com/AdamGrossTX
https://www.asquaredozen.com
https://github.com/AdamGrossTX
https://mvp.microsoft.com/en-us/PublicProfile/5003519?fullName=Adam%20Gross

Ben Reader - Microsoft MVP - Enterprise Mobility
https://twitter.com/powers_hell
https://www.powers-hell.com/
https://github.com/tabs-not-spaces
https://mvp.microsoft.com/en-us/PublicProfile/5003799?fullName=Ben%20Reader

Jake Shackelford - Desktop Engineer
https://twitter.com/shackelfjaco
https://sysmansquad.com/author/jshackelford/
https://www.linkedin.com/in/jacob-shackelford-a5bb121ab/",https://i.ytimg.com/vi_webp/Mr0tsvYTMa0/maxresdefault.webp,18 - 640x360 (360p),57025250
Intune Training,http://www.youtube.com/channel/UCfmMlhX5TW8cicxHw6ExYVA,S02E26 - First Look at the Microsoft Intune Settings Catalog (Preview) w/ Mike Danoski - (I.T),https://www.youtube.com/watch?v=sqIKcWXPvyI,4162,67,2,4.884058,4632,20210222,"['Microsoft', 'Intune', 'Training', 'Azure', 'AAD', 'MEM', 'MSIntune', 'Microsoft Endpoint Management', 'MEMIntune']",['People & Blogs'],"00:00 - Intro
00:47 - Mike Danoski - Microsoft Endpoint Manager Device Configuration and Policy Program Manager
             https://twitter.com/MikeDanoski
01:43 - Settings catalog announcement
             https://techcommunity.microsoft.com/t5/microsoft-endpoint-manager-blog/preview-microsoft-endpoint-manager-s-settings-catalog-to-more/ba-p/2116084
05:48 - How settings are set via Intune
14:03 - Finding a particular setting the fastest
19:38 - Using settings catalog
27:35 - Explaining conflicts
43:58 - User or device CSP setting
48:15 - Not configured settings
1:00:05 - Setting catalog deployment device status
1:02:30 - Discussion

Settings catalog documentation:
https://docs.microsoft.com/en-us/mem/intune/configuration/settings-catalog

Visit our websites and social media for more or to get in touch with us

Steve Hosking - Microsoft MMD Team
https://www.twitter.com/OnPremCloudGuy
http://steven.hosking.com.au/
https://mvp.microsoft.com/en-us/PublicProfile/5002537?fullName=Steven%20Hosking
https://github.com/onpremcloudguy

Adam Gross - Microsoft MVP - Enterprise Mobility
https://www.twitter.com/AdamGrossTX
https://www.asquaredozen.com
https://github.com/AdamGrossTX
https://mvp.microsoft.com/en-us/PublicProfile/5003519?fullName=Adam%20Gross

Ben Reader - Microsoft MVP - Enterprise Mobility
https://twitter.com/powers_hell
https://www.powers-hell.com/
https://github.com/tabs-not-spaces
https://mvp.microsoft.com/en-us/PublicProfile/5003799?fullName=Ben%20Reader

Jake Shackelford - Desktop Engineer
https://twitter.com/shackelfjaco
https://sysmansquad.com/author/jshackelford/
https://www.linkedin.com/in/jacob-shackelford-a5bb121ab/",https://i.ytimg.com/vi_webp/sqIKcWXPvyI/maxresdefault.webp,18 - 640x360 (360p),127023978
Intune Training,http://www.youtube.com/channel/UCfmMlhX5TW8cicxHw6ExYVA,"S02E25 - Scope Tags, Scope Groups & Roles - Securing Intune w/ Role Based Access Control - (I.T)",https://www.youtube.com/watch?v=XlXEzdkY7Mc,2330,41,0,5.0,1462,20210216,"['Microsoft', 'Intune', 'Training', 'Azure', 'AAD', 'MEM', 'MSIntune', 'Microsoft Endpoint Management', 'MEMIntune', 'Scope Tags', 'Scope Groups', 'Roles', 'RBAC', 'Role Based Access Control', 'Security']",['Science & Technology'],"In this video the guys discuss role based access control and securing the portal with custom roles with scope tags.

00:00 - Intro
00:40 - What is role based access control
              https://docs.microsoft.com/mem/intune/fundamentals/role-based-access-control
              https://docs.microsoft.com/microsoft-365/admin/add-users/intune-admin-roles-in-the-mac
02:46 - Azure active directory roles
07:38 - Assigning scope tags
10:42 - Creating a custom role
14:15 - Role assignments 
18:04 - Accessing the portal with a limited role and scope tags
21:50 - Role permissions

RBAC with Graph 
https://docs.microsoft.com/graph/api/resources/intune-rbac-conceptual

Visit our websites and social media for more or to get in touch with us

Steve Hosking - Microsoft MMD Team
https://www.twitter.com/OnPremCloudGuy
http://steven.hosking.com.au/
https://mvp.microsoft.com/en-us/PublicProfile/5002537?fullName=Steven%20Hosking
https://github.com/onpremcloudguy

Adam Gross - Microsoft MVP - Enterprise Mobility
https://www.twitter.com/AdamGrossTX
https://www.asquaredozen.com
https://github.com/AdamGrossTX
https://mvp.microsoft.com/en-us/PublicProfile/5003519?fullName=Adam%20Gross

Ben Reader - Microsoft MVP - Enterprise Mobility
https://twitter.com/powers_hell
https://www.powers-hell.com/
https://github.com/tabs-not-spaces
https://mvp.microsoft.com/en-us/PublicProfile/5003799?fullName=Ben%20Reader

Jake Shackelford - Desktop Engineer
https://twitter.com/shackelfjaco
https://sysmansquad.com/author/jshackelford/
https://www.linkedin.com/in/jacob-shackelford-a5bb121ab/",https://i.ytimg.com/vi_webp/XlXEzdkY7Mc/maxresdefault.webp,18 - 640x360 (360p),28370313
Intune Training,http://www.youtube.com/channel/UCfmMlhX5TW8cicxHw6ExYVA,Q&A - 2021 Browser Summit by CSMUG,https://www.youtube.com/watch?v=t78Bu-klgo0,237,3,2,3.4000001,2475,20210213,"['MEM', 'Training', 'MSIntune', 'Microsoft Endpoint Management', 'MEMIntune', 'Security', 'Azure', 'Browser', 'Chrome', 'Edge', 'Intune', 'Chromium', 'AAD', 'Group Policy', 'Microsoft']",['Science & Technology'],"This is a recording from the Charlotte Systems Management User Group Browser Summit held on January 29, 2021.

https://www.meetup.com/CLT-System-Management-User-Group/events/274553206/

Slide content can be found here: https://github.com/CSMUG/Meeting-Content/tree/master/BrowserSummitJan2021

Did you know that time spent using a browser on a PC is 60%?

The browser is a critical part of any organization's applications and there is a lot of changes happening in this space. Join us for some great presentations and demos on managing the browser

Session Schedule (all times are Eastern Standard Timezone)

Intro - Julie Andreacola & Adam Gross
Managing Chrome - Chris Kibble
Managing and Deploying Edge in MEMCM and Intune - Donna Ryan
GPO implementation for Edge - Chad Brower
Browser Compatibility: Saying Goodbye to Internet Explorer - Julie Andreacola
PolicyPak: Manage your Desktops and Browsers via Group Policy and Intune - Jeremy Moskowitz
What's cool in Edge & Edge Roadmap - Colleen Williams
Edge and Security - Colleen Williams
Q&A - All",https://i.ytimg.com/vi/t78Bu-klgo0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPc_PObjbHlEGcxtuVWIINHlZ-QQ,18 - 640x360 (360p),81693139
Intune Training,http://www.youtube.com/channel/UCfmMlhX5TW8cicxHw6ExYVA,Demo of Edge Surf Game with Adam Gross - 2021 Browser Summit by CSMUG,https://www.youtube.com/watch?v=hI2j_Ijx_Zc,215,1,0,5.0,208,20210213,"['Training', 'Intune', 'Group Policy', 'MEM', 'Microsoft', 'Microsoft Endpoint Management', 'Chrome', 'AAD', 'Security', 'MEMIntune', 'Azure', 'Browser', 'Edge', 'Chromium', 'MSIntune']",['Science & Technology'],"This is a recording from the Charlotte Systems Management User Group Browser Summit held on January 29, 2021.

https://www.meetup.com/CLT-System-Management-User-Group/events/274553206/

Slide content can be found here: https://github.com/CSMUG/Meeting-Content/tree/master/BrowserSummitJan2021

Did you know that time spent using a browser on a PC is 60%?

The browser is a critical part of any organization's applications and there is a lot of changes happening in this space. Join us for some great presentations and demos on managing the browser

Session Schedule (all times are Eastern Standard Timezone)

Intro - Julie Andreacola & Adam Gross
Managing Chrome - Chris Kibble
Managing and Deploying Edge in MEMCM and Intune - Donna Ryan
GPO implementation for Edge - Chad Brower
Browser Compatibility: Saying Goodbye to Internet Explorer - Julie Andreacola
PolicyPak: Manage your Desktops and Browsers via Group Policy and Intune - Jeremy Moskowitz
What's cool in Edge & Edge Roadmap - Colleen Williams
Edge and Security - Colleen Williams
Q&A - All",https://i.ytimg.com/vi/hI2j_Ijx_Zc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAA3rjEtXe_IEVeU6-9ajeQ_nnBsA,18 - 640x360 (360p),5487979
Intune Training,http://www.youtube.com/channel/UCfmMlhX5TW8cicxHw6ExYVA,Browser Compatibility with Julie Andreacola - 2021 Browser Summit by CSMUG,https://www.youtube.com/watch?v=IM4gFwy-1AI,145,1,1,3.0,1871,20210213,"['Group Policy', 'Microsoft Endpoint Management', 'Intune', 'MEMIntune', 'Chromium', 'MEM', 'Azure', 'MSIntune', 'Microsoft', 'Browser', 'Edge', 'Training', 'Chrome', 'AAD', 'Security']",['Science & Technology'],"This is a recording from the Charlotte Systems Management User Group Browser Summit held on January 29, 2021.

https://www.meetup.com/CLT-System-Management-User-Group/events/274553206/

Slide content can be found here: https://github.com/CSMUG/Meeting-Content/tree/master/BrowserSummitJan2021

Did you know that time spent using a browser on a PC is 60%?

The browser is a critical part of any organization's applications and there is a lot of changes happening in this space. Join us for some great presentations and demos on managing the browser

Session Schedule (all times are Eastern Standard Timezone)

Intro - Julie Andreacola & Adam Gross
Managing Chrome - Chris Kibble
Managing and Deploying Edge in MEMCM and Intune - Donna Ryan
GPO implementation for Edge - Chad Brower
Browser Compatibility: Saying Goodbye to Internet Explorer - Julie Andreacola
PolicyPak: Manage your Desktops and Browsers via Group Policy and Intune - Jeremy Moskowitz
What's cool in Edge & Edge Roadmap - Colleen Williams
Edge and Security - Colleen Williams
Q&A - All",https://i.ytimg.com/vi/IM4gFwy-1AI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDDfJiTRXnVG4ueaag4pFfAs-UYIA,18 - 640x360 (360p),33856793
Intune Training,http://www.youtube.com/channel/UCfmMlhX5TW8cicxHw6ExYVA,Managing Edge with Group Policy with Chad Brower - 2021 Browser Summit by CSMUG,https://www.youtube.com/watch?v=K7tKccvCt9k,199,1,0,5.0,1068,20210213,"['Browser', 'MEMIntune', 'Training', 'Edge', 'Intune', 'Chrome', 'Microsoft', 'Security', 'Chromium', 'Azure', 'MEM', 'Group Policy', 'Microsoft Endpoint Management', 'AAD', 'MSIntune']",['Science & Technology'],"This is a recording from the Charlotte Systems Management User Group Browser Summit held on January 29, 2021.

https://www.meetup.com/CLT-System-Management-User-Group/events/274553206/

Slide content can be found here: https://github.com/CSMUG/Meeting-Content/tree/master/BrowserSummitJan2021

Did you know that time spent using a browser on a PC is 60%?

The browser is a critical part of any organization's applications and there is a lot of changes happening in this space. Join us for some great presentations and demos on managing the browser

Session Schedule (all times are Eastern Standard Timezone)

Intro - Julie Andreacola & Adam Gross
Managing Chrome - Chris Kibble
Managing and Deploying Edge in MEMCM and Intune - Donna Ryan
GPO implementation for Edge - Chad Brower
Browser Compatibility: Saying Goodbye to Internet Explorer - Julie Andreacola
PolicyPak: Manage your Desktops and Browsers via Group Policy and Intune - Jeremy Moskowitz
What's cool in Edge & Edge Roadmap - Colleen Williams
Edge and Security - Colleen Williams
Q&A - All",https://i.ytimg.com/vi/K7tKccvCt9k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBgtswT72FOVOkcypwFSVrEIDb0SQ,18 - 640x360 (360p),18865453
